description,category,disposal_instruction,common_confusion,material_composition
clean mini Brand A paper towel,Paper,Remove any plastic or metal attachments before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
soiled fun-sized ceramic Designer marker empty,Miscellaneous Trash,Consider if items can be repaired or repurposed.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
Budget glass container,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
dry six-pack holder,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
clean Local vacuum dust with label attached,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
compact multi-colored cigarette butt,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
wet silver egg shells leaking,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
new spotted egg carton,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
intact transparent Supermarket paper plate,Paper,Place in paper recycling bin.,,Cellulose fibers derived from wood pulp or recycled paper.
partial dryer lint,Miscellaneous Trash,Place truly non-recyclable items in general waste.,,Various non-recyclable materials often with mixed composition.
Homemade gift box,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
used large patterned synthetic Generic disposable diaper,Miscellaneous Trash,Consider if items can be repaired or repurposed.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
empty medium orange medicine bottle sealed,Glass,Rinse container before recycling.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
crumpled green Commercial glass ornament,Glass,Rinse container before recycling.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
full multi-colored cardboard mailer,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
crumpled industrial transparent rubber Eco-Friendly linen cloth,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
folded yellow Premium plastic bag,Plastic,Check recycling number on bottom and sort accordingly.,,Polymer materials derived from petrochemicals or plant-based sources.
silver Premium metal screw,Metal,Ensure it is clean and empty before recycling.,,"Aluminum, steel, tin or mixed metal alloys."
clean massive green metal Eco-Friendly battery,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
newspaper leaking,Paper,"If stained with food or oil, place in general waste.",,Cellulose fibers derived from wood pulp or recycled paper.
mini patterned Supermarket paper cup,Paper,Shred sensitive documents before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
partial Artisanal weeds sealed,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
striped Supermarket fabric scrap leaking,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
wet Artisanal tissue paper,Paper,Place in paper recycling bin.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
gold Bulk palm fronds,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
ripped tiny gold Designer egg carton empty,Cardboard,Break down large boxes to save space.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
wrinkled industrial office paper partially filled,Paper,Place in paper recycling bin.,,Cellulose fibers derived from wood pulp or recycled paper.
used personal spoiled food,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
damaged blue cotton Homemade disposable razor sealed,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
large spotted chicken bones,Food Organics,Place in organic waste or compost bin.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
mini pink glass jar,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
floral biodegradable Imported disposable diaper,Miscellaneous Trash,Place truly non-recyclable items in general waste.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
dirty oversized beverage carrier,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
dry fun-sized CD case with liquid inside,Plastic,Remove labels if possible.,,Polymer materials derived from petrochemicals or plant-based sources.
dry medium transparent wooden Homemade silk tie,Textile Trash,Some retailers accept old clothing for recycling.,,"Fabric made from natural or synthetic fibers, may include blends."
torn Bulk egg carton,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
torn regular-sized Brand A potted plant with liquid inside,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
soiled silver receipt containing residue,Paper,Shred sensitive documents before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
fun-sized silver fabric rug,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
packaging box,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
full multi-colored silicone Premium tool,Miscellaneous Trash,Consider if items can be repaired or repurposed.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
broken soda bottle,Plastic,Rinse container before recycling.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
partial industrial multi-colored Bulk paperback book partially filled,Paper,Place in paper recycling bin.,,Cellulose fibers derived from wood pulp or recycled paper.
multi-colored Artisanal vegetable plant leaking,Vegetation,Large branches may need to be cut to appropriate size.,,Plant matter composed primarily of cellulose and lignin.
transparent aluminum can,Metal,Ensure it is clean and empty before recycling.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
full oversized yellow cotton Imported carpet piece,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
green fabric rug sealed,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
dry personal gold cardboard tray with product remaining,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
soiled black Supermarket pizza box,Cardboard,Flatten boxes before placing in cardboard recycling.,,Thick paper pulp formed into corrugated or solid sheets.
dry glass jar partially filled,Glass,Non-container glass may require special disposal.,,"Silica-based material, may contain additives for color or strength."
clean mirror fragment with contents,Glass,Non-container glass may require special disposal.,,"Silica-based material, may contain additives for color or strength."
oversized blue takeout container,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",,Polymer materials derived from petrochemicals or plant-based sources.
dry multi-colored Supermarket CD/DVD,Miscellaneous Trash,Consider if items can be repaired or repurposed.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
crumpled enormous gold Commercial flower petals,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
red Organic corn cob,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
crumpled industrial glass tabletop,Glass,Broken glass should be wrapped and labeled before disposal.,,"Silica-based material, may contain additives for color or strength."
partial purple Artisanal avocado pit,Food Organics,Use compostable bags for collection if required.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
torn industrial purple plastic rug partially filled,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
partial regular-sized red Commercial yogurt container,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
dry regular-sized tree limbs with liquid inside,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
red printer paper,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
medium detergent bottle,Plastic,Rinse container before recycling.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
empty Premium light bulb,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
ripped standard purple Designer glass ornament,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
torn spotted silicone Designer carpet piece,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
stained brown linen cloth with contents,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
floral Natural toothbrush,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
mini blue Homemade rug,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
Bulk shoe box,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
small synthetic cotton towel,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
folded green leaves,Vegetation,Check if your area has seasonal leaf collection.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
Homemade plastic straw,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
oversized yellow Artisanal branches,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
partial personal blue food scraps,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
crumpled brown grass clippings,Vegetation,Large branches may need to be cut to appropriate size.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
empty patterned Eco-Friendly grass clippings,Vegetation,Large branches may need to be cut to appropriate size.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
dry fun-sized multi-colored water bottle empty,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",,Polymer materials derived from petrochemicals or plant-based sources.
dry pencil,Miscellaneous Trash,Place truly non-recyclable items in general waste.,,Various non-recyclable materials often with mixed composition.
Generic metal pipe,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
ripped glass pitcher,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
multi-colored Commercial silk tie,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
used wood piece,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,,Various non-recyclable materials often with mixed composition.
dirty tiny purple Bulk coffee grounds,Food Organics,Place in organic waste or compost bin.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
stained brown Brand B paper bag empty,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
travel-sized paper towel,Paper,Place in paper recycling bin.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
damaged oversized sheet of paper,Paper,Remove any plastic or metal attachments before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
corrugated box with liquid inside,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
tiny soda can with label attached,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
wrinkled enormous brown pencil,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
folded green Homemade olive pits,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
gold Homemade drinking glass,Glass,Non-container glass may require special disposal.,,"Silica-based material, may contain additives for color or strength."
partial fun-sized mirror fragment,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
soiled silicone carpet piece with food residue,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
ripped compact pink CD case partially filled,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
crumpled large yellow yogurt container,Plastic,Remove labels if possible.,,Polymer materials derived from petrochemicals or plant-based sources.
broken enormous multi-colored weeds,Vegetation,Consider home composting for small amounts.,,Plant matter composed primarily of cellulose and lignin.
dry floral tablecloth,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
damaged spotted plant cuttings,Vegetation,Consider home composting for small amounts.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
small striped Budget palm fronds with label attached,Vegetation,Large branches may need to be cut to appropriate size.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
torn medium transparent Generic clamshell packaging,Plastic,Rinse container before recycling.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
white Natural glass ornament,Glass,"Place in glass recycling bin, sorted by color if required.",,"Silica-based material, may contain additives for color or strength."
soda bottle,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
wrinkled Artisanal bush clippings,Vegetation,Large branches may need to be cut to appropriate size.,,Plant matter composed primarily of cellulose and lignin.
soiled patterned cotton Bulk pillow case with contents,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
full packaging box,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
stained Budget metal screw,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
large Designer metal bottle,Metal,Place in metal recycling bin.,,"Aluminum, steel, tin or mixed metal alloys."
dry industrial purple Eco-Friendly tablecloth,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
travel-sized green Brand A soda can,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
dry enormous pink leather cigarette butt,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,,Various non-recyclable materials often with mixed composition.
intact regular-sized purple metal screw,Metal,Remove any non-metal parts if possible.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
clean fun-sized transparent Designer gloves,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
massive green Homemade clamshell packaging,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
folded travel-sized tin can,Metal,Ensure it is clean and empty before recycling.,,"Aluminum, steel, tin or mixed metal alloys."
dirty mini silver wine bottle partially filled,Glass,"Remove caps, lids, and corks before recycling.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
medium avocado pit with contents,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
new Commercial takeout container with food residue,Plastic,Check recycling number on bottom and sort accordingly.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
clean Imported metal pipe,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
ripped massive striped Budget plastic wrap,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
yellow plastic tray,Plastic,Plastic bags can be returned to supermarket collection points.,,Polymer materials derived from petrochemicals or plant-based sources.
standard Homemade wine bottle,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
black corrugated box with food residue,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
oversized magazine,Paper,"If stained with food or oil, place in general waste.",,Cellulose fibers derived from wood pulp or recycled paper.
Organic dryer lint containing residue,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
new paperback book,Paper,Place in paper recycling bin.,,Cellulose fibers derived from wood pulp or recycled paper.
intact office paper,Paper,"If stained with food or oil, place in general waste.",,Cellulose fibers derived from wood pulp or recycled paper.
standard cardboard scarf leaking,Textile Trash,Some retailers accept old clothing for recycling.,,"Fabric made from natural or synthetic fibers, may include blends."
folded purple Artisanal paperback book,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
fun-sized floral Supermarket tool,Miscellaneous Trash,Consider if items can be repaired or repurposed.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
stained compact brown food packaging,Cardboard,Flatten boxes before placing in cardboard recycling.,,Thick paper pulp formed into corrugated or solid sheets.
dirty personal striped Budget cardboard tube,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
new travel-sized silver champagne bottle,Glass,Broken glass should be wrapped and labeled before disposal.,,"Silica-based material, may contain additives for color or strength."
folded pizza box,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
